Gender,Age,Education,Occupation,State,Relationship_Status,Obligation_Rating,Obligation_Category,NEP,Vacation_Behaviour,Rest_And_Relax,Luxury_Be_Spoilt,Do_Sports,Excitement_A_Challenge,Not_Exceed_Planned_Budget,Realise_Creativity,Fun_And_Entertainment,Good_Company,Health_and_Beauty,Free_And_Easy_Going,Entertainment_Facilities,Not_Care_About_Prices,Life_style_of_The _Local_People,Intense_Experience_of_Nature,Cosiness_Familiar_Atmosphere,Maintain_Unspoilt_Surroundings,Everything_Organised,Unspoilt_Nature_Natural_Landscape,Cultural_Offers,Change_Of_Surroundings,Income_Doller_K,Expenditure_Doller_K
Female,46,4,small business owner,NSW,married,3.27,Q1,3.53,2.68,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,78,1
Female,55,2,Clerical or service worker,QLD,married,3.70,Q2,4.20,4.07,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,78,78
Male,60,2,retired,VIC,married,3.60,Q2,4.13,3.34,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,78,1
Male,37,1,professional,VIC,,2.43,Q1,3.13,2.20,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,78,73
Male,56,8,Clerical or service worker,WA,married,4.03,Q3,4.27,3.67,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,79,35
Female,56,6,Clerical or service worker,QLD,married,4.40,Q4,4.47,3.43,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,79,83
Female,36,1,Clerical or service worker,VIC,living with a partner,4.27,Q4,4.07,3.86,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,81,5
Female,36,6,professional,NSW,separated or divorced,3.63,Q2,3.60,3.25,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,81,93
Male,52,2,small business owner,NSW,married,3.67,Q2,3.33,1.93,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,85,26
Female,63,6,sales,QLD,separated or divorced,4.23,Q4,3.47,3.04,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,85,75
Female,58,1,Clerical or service worker,VIC,separated or divorced,4.00,Q3,4.33,2.47,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,86,20
Male,62,3,transport worker,QLD,married,4.33,Q4,4.87,3.48,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no,86,95
Female,59,2,home-duties,NSW,separated or divorced,3.30,Q1,4.27,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,87,27
Female,38,2,home-duties,VIC,separated or divorced,4.40,Q4,4.13,4.47,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,87,63
Female,42,1,home-duties,QLD,married,4.13,Q3,3.40,4.40,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,87,13
Male,39,4,professional,NSW,single,4.97,Q4,4.27,2.82,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,87,75
Female,58,8,manager or administrator,QLD,separated or divorced,4.30,Q4,4.27,2.59,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,87,10
Male,46,8,manager or administrator,NSW,married,4.00,Q3,4.07,2.63,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,87,92
Male,55,7,professional,WA,separated or divorced,4.37,Q4,4.47,3.17,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,88,13
Male,36,8,unemployed,WA,living with a partner,1.00,Q1,3.80,2.12,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,88,86
Male,60,8,manager or administrator,NSW,married,4.33,Q4,3.73,2.93,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,88,15
Female,41,6,home-duties,NSW,married,4.00,Q3,3.40,4.55,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,88,69
Female,41,1,home-duties,QLD,married,4.07,Q3,4.07,3.53,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,93,14
Female,36,3,Clerical or service worker,QLD,married,4.23,Q4,3.93,3.48,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,93,90
Female,55,2,retired,QLD,separated or divorced,4.60,Q4,4.20,3.85,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,97,32
Male,21,7,unemployed,NSW,single,3.33,Q1,2.33,2.26,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,97,86
Female,44,6,manager or administrator,WA,single,3.80,Q2,3.67,3.63,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,98,15
Female,55,8,home-duties,NSW,married,3.30,Q1,3.07,2.63,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,98,88
Female,61,8,professional,VIC,married,3.63,Q2,4.27,3.44,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,99,39
Female,38,7,Clerical or service worker,NSW,married,3.93,Q3,4.73,3.30,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,99,97
Female,61,7,professional,NSW,single,4.47,Q4,3.40,3.75,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,101,24
Male,64,8,professional,QLD,married,3.73,Q2,2.67,2.87,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,101,68
Female,59,2,,NSW,married,4.30,Q4,3.67,3.14,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,103,17
Female,38,1,labourer,VIC,married,3.50,Q2,4.40,3.00,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,103,85
Male,21,7,professional,NSW,single,3.80,Q2,3.60,3.08,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,103,23
Female,60,4,professional,SA,married,3.50,Q2,3.53,2.58,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,103,69
Female,58,3,home-duties,VIC,married,3.90,Q3,3.60,3.25,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,113,8
Female,74,1,sales,NSW,married,2.67,Q1,3.73,1.93,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,113,91
Female,58,1,retired,VIC,single,3.93,Q3,4.33,2.76,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,120,16
Male,45,2,manager or administrator,VIC,married,3.57,Q2,3.27,2.77,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,120,79
Female,39,3,manager or administrator,NSW,married,3.70,Q2,2.87,3.00,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,126,28
Male,57,3,Clerical or service worker,NSW,married,2.57,Q1,2.27,1.76,yes,yes,no,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,126,74
Female,39,7,manager or administrator,NSW,single,4.77,Q4,4.53,4.53,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,137,18
Female,84,2,Clerical or service worker,VIC,married,3.13,Q1,3.00,2.94,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,137,83
Male,27,7,professional,NSW,married,4.43,Q4,3.93,3.73,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,,
Male,47,3,,NSW,married,3.63,Q2,3.07,2.07,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,24,3,home-duties,VIC,married,4.43,Q4,3.33,1.93,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,,
Female,60,4,home-duties,VIC,single,4.43,Q4,3.33,3.00,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes,,
Male,21,2,manager or administrator,NSW,single,3.53,Q2,3.47,2.20,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,55,6,retired,NSW,married,3.83,Q3,4.07,3.58,no,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,,
Male,23,6,manager or administrator,NSW,single,3.03,Q1,3.73,1.97,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,,
Female,61,1,home-duties,QLD,married,3.77,Q2,3.47,2.86,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,,
Male,60,1,small business owner,QLD,married,3.93,Q3,3.40,3.40,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,,
Female,55,1,home-duties,QLD,married,3.97,Q3,4.13,3.06,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,,
Male,29,7,professional,NSW,single,3.40,Q2,3.27,2.48,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,,
Male,59,8,retired,WA,living with a partner,4.23,Q4,5.00,3.83,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,,
Female,49,6,Clerical or service worker,WA,married,3.73,Q2,3.60,2.69,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,,
Male,22,6,professional,SA,living with a partner,3.10,Q1,2.53,2.23,yes,no,no,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,,
Female,61,8,Clerical or service worker,VIC,single,2.73,Q1,2.93,2.32,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,,
Female,40,2,manager or administrator,NSW,married,3.37,Q1,3.27,1.97,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,,
Male,52,2,transport worker,SA,separated or divorced,4.03,Q3,4.20,3.67,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,,
Female,27,8,professional,NSW,married,3.87,Q3,3.13,3.00,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,56,7,professional,NSW,married,2.00,Q1,3.00,2.40,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,43,7,manager or administrator,NSW,living with a partner,3.53,Q2,3.07,,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,41,7,professional,NSW,married,3.50,Q2,3.40,2.73,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,,
Male,29,7,professional,NSW,single,3.07,Q1,4.20,2.55,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,,
Female,25,6,tradesperson,VIC,single,4.80,Q4,3.47,3.23,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,,
Male,35,8,manager or administrator,QLD,married,4.23,Q4,3.80,2.29,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,59,1,,VIC,married,4.23,Q4,3.73,3.57,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,,
Male,27,3,Clerical or service worker,VIC,single,4.00,Q3,3.07,2.97,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,42,6,professional,SA,married,4.77,Q4,3.20,4.20,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,,
Female,63,3,retired,WA,separated or divorced,3.17,Q1,4.07,3.05,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,,
Male,47,7,manager or administrator,NSW,living with a partner,2.70,Q1,2.73,3.10,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,,
Female,26,1,home-duties,VIC,married,3.87,Q3,3.73,2.64,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,,
Male,50,3,small business owner,VIC,single,3.40,Q2,3.07,2.94,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,,
Male,31,3,manager or administrator,ACT,living with a partner,2.97,Q1,4.20,2.73,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,,
Female,60,1,retired,NSW,married,3.53,Q2,3.07,3.41,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,36,3,,QLD,married,3.20,Q1,3.13,2.26,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,22,7,professional,NSW,single,3.67,Q2,4.00,3.04,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,59,7,small business owner,VIC,married,3.53,Q2,2.60,3.30,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,,
Female,31,7,professional,NSW,married,2.53,Q1,2.73,2.10,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes,,
Male,37,7,labourer,QLD,married,3.33,Q1,2.47,2.27,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,,
Female,42,1,home-duties,WA,married,3.67,Q2,3.60,3.00,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,,
Male,33,7,professional,NSW,married,4.37,Q4,3.13,3.67,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,,
Male,39,4,manager or administrator,VIC,married,3.43,Q2,4.20,2.63,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,,
Male,31,7,Clerical or service worker,SA,separated or divorced,4.60,Q4,4.13,4.10,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,,
Female,59,2,,NSW,married,3.43,Q2,2.13,2.45,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,,
Male,57,7,manager or administrator,NSW,separated or divorced,4.97,Q4,4.67,2.50,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,,
Male,41,6,tradesperson,QLD,single,3.43,Q2,4.20,2.03,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,,
Male,43,6,manager or administrator,WA,married,3.40,Q2,3.80,3.00,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,,
Male,33,3,labourer,SA,single,3.57,Q2,3.93,3.24,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,yes,,
Male,23,6,sales,VIC,single,3.73,Q2,4.00,3.00,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no,,
Male,53,6,Clerical or service worker,VIC,married,3.93,Q3,4.40,2.67,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,,
Female,65,3,retired,NSW,married,4.43,Q4,4.13,3.64,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no,yes,,
Male,48,3,home-duties,VIC,married,3.33,Q1,3.33,1.79,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,,
Female,63,3,retired,VIC,married,4.43,Q4,3.67,3.72,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,,
Female,36,7,professional,VIC,married,4.07,Q3,4.13,2.19,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,,
Female,51,8,small business owner,WA,married,3.97,Q3,3.60,3.54,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,,
Male,58,7,professional,NSW,married,4.70,Q4,3.20,3.30,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,53,4,Clerical or service worker,QLD,separated or divorced,4.27,Q4,4.47,3.62,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,66,4,retired,WA,married,3.67,Q2,2.67,3.04,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,yes,yes,no,,
Male,74,4,tradesperson,SA,married,2.93,Q1,3.47,1.90,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,38,3,professional,NSW,living with a partner,4.37,Q4,4.00,2.97,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,,
Male,34,7,professional,VIC,married,4.73,Q4,3.47,3.77,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,,
Male,58,4,manager or administrator,NSW,married,3.00,Q1,3.13,2.97,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,,
Female,40,4,small business owner,QLD,married,3.20,Q1,3.93,2.23,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,,
Female,55,4,,NSW,widowed,3.87,Q3,4.20,4.24,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,,
Male,30,4,manager or administrator,QLD,living with a partner,4.17,Q3,3.80,2.67,yes,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,,
Male,42,2,professional,NSW,married,3.37,Q1,4.13,,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,58,3,professional,NSW,single,4.47,Q4,4.53,3.39,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,,
Male,35,3,manager or administrator,QLD,single,4.27,Q4,3.47,2.67,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,58,1,Clerical or service worker,QLD,married,4.33,Q4,4.00,4.10,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,,
Female,70,2,professional,VIC,living with a partner,3.93,Q3,3.07,4.50,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,,
Female,60,7,manager or administrator,QLD,married,4.53,Q4,4.20,4.71,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,,
Female,32,7,professional,ACT,single,4.27,Q4,3.73,3.05,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,,
Male,20,1,Clerical or service worker,QLD,single,4.50,Q4,4.13,3.60,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,,
Male,22,6,sales,NSW,single,2.90,Q1,3.67,2.86,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,,
Male,56,7,sales,VIC,married,4.10,Q3,2.00,3.69,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,,
Male,62,6,tradesperson,VIC,married,4.00,Q3,3.20,2.97,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,55,2,Clerical or service worker,NSW,married,3.43,Q2,3.73,2.10,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,,
Male,61,8,professional,VIC,married,2.53,Q1,3.80,2.68,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,,
Male,56,7,manager or administrator,Tas,married,4.17,Q3,2.80,2.77,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,,
Female,42,6,Clerical or service worker,NSW,single,3.17,Q1,4.40,2.36,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,,
Male,38,8,unemployed,VIC,married,4.37,Q4,3.87,3.00,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,,
Male,40,7,manager or administrator,NSW,separated or divorced,2.23,Q1,2.47,1.93,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,,
Male,41,6,professional,NSW,married,3.97,Q3,4.53,2.92,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,,
Female,23,3,manager or administrator,VIC,single,4.07,Q3,3.87,2.65,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,,
Female,61,3,professional,VIC,living with a partner,3.17,Q1,3.27,3.80,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,,
Female,44,7,professional,QLD,married,1.90,Q1,4.07,3.53,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,,
Female,34,3,home-duties,NSW,living with a partner,4.37,Q4,3.73,3.61,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,,
Female,28,7,manager or administrator,QLD,single,2.60,Q1,2.67,1.91,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,,
Male,55,8,manager or administrator,VIC,single,4.00,Q3,3.60,2.70,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,,
Female,37,2,home-duties,QLD,living with a partner,3.10,Q1,3.67,3.05,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,,
Female,58,2,,NSW,married,3.90,Q3,3.40,4.00,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,,
Male,22,3,professional,QLD,living with a partner,4.33,Q4,4.27,2.70,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,43,3,professional,NSW,married,4.13,Q3,3.47,2.97,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,yes,yes,no,yes,no,yes,,
Male,20,3,manager or administrator,NSW,single,4.30,Q4,4.40,3.81,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,,
Female,61,3,manager or administrator,NSW,single,3.27,Q1,4.33,2.76,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,,
Male,56,8,manager or administrator,NSW,separated or divorced,2.80,Q1,2.87,2.37,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,,
Female,29,4,home-duties,QLD,living with a partner,3.33,Q1,3.33,2.62,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,58,8,professional,VIC,single,2.73,Q1,3.53,1.83,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,,
Male,28,7,sales,NSW,living with a partner,3.67,Q2,3.60,2.85,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,yes,,
Male,25,8,manager or administrator,NSW,single,3.57,Q2,3.20,3.13,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,yes,,
Male,59,2,unemployed,NSW,married,4.37,Q4,3.40,3.10,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,,
Male,33,8,manager or administrator,Tas,single,4.03,Q3,3.87,2.33,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,,
Male,51,3,professional,NSW,married,3.03,Q1,3.80,2.10,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,,
Female,26,1,sales,VIC,separated or divorced,4.40,Q4,3.33,4.07,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,,
Male,59,,,NSW,widowed,3.37,Q1,4.60,2.50,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,,
Female,25,3,manager or administrator,NT,single,2.70,Q1,3.60,1.80,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,,
Male,33,6,unemployed,VIC,single,3.97,Q3,4.00,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,35,7,professional,QLD,single,3.70,Q2,3.80,3.27,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,,
Male,28,7,sales,WA,single,3.17,Q1,3.40,2.15,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,,
Female,21,7,Clerical or service worker,QLD,living with a partner,4.17,Q3,3.60,2.18,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,57,8,manager or administrator,NSW,married,3.97,Q3,3.67,3.30,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,,
Male,35,3,manager or administrator,SA,married,2.90,Q1,3.00,2.27,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,,
Male,32,4,tradesperson,VIC,married,3.33,Q1,4.27,2.97,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,,
Female,61,1,,VIC,widowed,4.17,Q3,3.67,3.00,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,19,3,Clerical or service worker,VIC,single,1.37,Q1,2.40,1.75,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,,
Female,43,1,Clerical or service worker,VIC,separated or divorced,3.27,Q1,3.53,3.00,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,38,8,manager or administrator,NSW,married,3.70,Q2,3.80,2.48,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,,
Female,59,2,Clerical or service worker,NSW,married,3.70,Q2,3.93,3.27,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,,
Male,66,7,small business owner,NSW,separated or divorced,3.70,Q2,3.33,2.39,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,,
